Front,Back,Chapter,Section,Tags
"**8.** A pregnant prisoner is brought into the command. What is the initial restraint method, and who determines if a less restrictive method is appropriate?

A) A) Front cuff initially; the desk officer determines if less restrictive method is needed
B) B) Rear cuff initially; the immediate supervisor (sergeant) determines if less restrictive method is appropriate
C) C) No restraints initially; the commanding officer determines restraint level
D) D) Rear cuff initially; the arresting officer determines if less restrictive method is needed","**Answer: B**

Per P.G. 210-01, pregnant prisoners are initially rear cuffed, absent exceptional circumstances. The immediate supervisor (sergeant) determines if a less restrictive method is appropriate (front cuff, or one hand cuffed to a stationary post) based on factors including safety, escape likelihood, crime circumstances, demeanor, late-stage pregnancy/fall risk, and labor.","Prisoners","210",chapter_210 210_prisoners
"**9.** Which of the following is NOT one of the seven high risk prisoner factors?

A) A) Seriousness of offense
B) B) Prior criminal record length
C) C) Forcible resistance
D) D) History of escape or attempted escape","**Answer: B**

Per P.G. 210-01, the 7 high risk factors are: (1) seriousness of offense, (2) unwillingness to identify self, (3) forcible resistance, (4) threats of violence or escape, (5) history of violence, (6) weapons possession, and (7) escape/attempted escape history. ""Prior criminal record length"" is NOT one of the factors.","Prisoners","210",chapter_210 210_prisoners
"**10.** An arresting officer wants to void an arrest. With whom must the officer confer to obtain consent?

A) A) The desk officer only
B) B) The commanding officer
C) C) The patrol supervisor; if unavailable, the desk officer or BCS supervisor
D) D) The district attorney","**Answer: C**

Per P.G. 210-13, the arresting officer must confer with the patrol supervisor for consent to release. If the patrol supervisor is unavailable, the officer confers with the desk officer or BCS supervisor. The authority to release rests solely with the Police Department.","Prisoners","210",chapter_210 210_prisoners
"**11.** An ADA issues a Decline Prosecution Letter. Before releasing the prisoner, the desk officer conducts a warrant check and discovers an active warrant. What is the correct action?

A) A) Release the prisoner on the decline prosecution and issue a new summons for the warrant
B) B) Hold the prisoner on both the original charges and the warrant
C) C) Process the prisoner solely on the warrant authority, NOT on the original charges
D) D) Contact the ADA to request prosecution on the original charges","**Answer: C**

Per P.G. 210-16, if a warrant check reveals an active warrant during a decline prosecution release, the prisoner is processed solely on the warrant authority — NOT on the original charges. The ADA has already declined prosecution on the original charges.","Prisoners","210",chapter_210 210_prisoners
"**12.** How many MOS must be present when using the Mobile Livescan Device (MLD) to fingerprint a hospitalized prisoner?

A) A) 1 MOS
B) B) At least 2 MOS
C) C) At least 3 MOS
D) D) The number depends on the prisoner's risk level","**Answer: B**

Per P.G. 210-05, at least 2 MOS must be present during MLD fingerprinting of a hospitalized prisoner. The MLD is prohibited for any purpose other than fingerprinting hospitalized prisoners. If bedside arraignment is delayed more than 6 days, the borough court section must be notified.","Prisoners","210",chapter_210 210_prisoners
"**13.** When is the annual Prisoner Security Survey conducted, and when is the report due?

A) A) First week of January; report due January 7th
B) B) Last week of September; report due September 30th
C) C) Last week of December; report due December 31st
D) D) First week of June; report due June 7th","**Answer: B**

Per P.G. 210-01, the Prisoner Security Survey is conducted annually during the last week of September, with the report due by September 30th.","Prisoners","210",chapter_210 210_prisoners
"**14.** Which of the following prisoners may be placed in a holding pen?

A) A) An intoxicated prisoner who is cooperative
B) B) An emotionally disturbed prisoner under observation
C) C) A prisoner with a minor laceration who has been treated and cleared by EMS
D) D) An ill prisoner awaiting transport to the hospital","**Answer: C**

Per P.G. 210-08, ill, intoxicated, and emotionally disturbed prisoners are NOT permitted in holding pens — they must be removed to a hospital under P.G. 210-04. A prisoner who has been treated and medically cleared by EMS may be placed in a holding pen, as they are no longer in the ill/injured category requiring hospital treatment.","Prisoners","210",chapter_210 210_prisoners
"**15.** A voided arrest was processed and the prisoner was fingerprinted. Who is responsible for faxing DCJS to seal the fingerprint record?

A) A) The arresting officer
B) B) The desk officer
C) C) The patrol supervisor
D) D) The BCS intake supervisor","**Answer: D**

Per P.G. 210-13, when a voided arrest involves a fingerprinted prisoner, the BCS intake supervisor faxes DCJS to seal the record. This step is critical to ensure that an invalid arrest does not create a permanent fingerprint record.","Prisoners","210",chapter_210 210_prisoners
"**16.** A hospitalized prisoner's doctor requests that the guarding officer remove the prisoner's handcuffs. What is the correct procedure?

A) A) Remove the cuffs immediately as directed by the doctor
B) B) Explain the circumstances of the arrest; if the doctor insists, request the Patrol Supervisor to respond — do NOT remove without the PS present and authorizing
C) C) Refuse the request and document it in the Activity Log
D) D) Contact the desk officer for permission to remove the cuffs","**Answer: B**

Per P.G. 210-04, if a doctor requests cuffs be removed, the guarding officer explains the circumstances of arrest. If the doctor still wants them off, the officer requests the Patrol Supervisor to respond. Cuffs are NOT removed without the PS on scene and authorizing. Note: this is different from a doctor asking the officer to leave the room, which does NOT require the PS.","Prisoners","210",chapter_210 210_prisoners
"**17.** A prisoner ingests narcotics during arrest. How many times must the Patrol Supervisor and Communications Section be notified?

A) A) Once — when the ingestion is observed
B) B) Twice — when observed and when arriving at the hospital
C) C) Three times — when observed, when transport initiated, and when arrived at hospital
D) D) Four times — when observed, when transport initiated, when arrived, and when treated","**Answer: C**

Per P.G. 210-04, the Patrol Supervisor AND Communications Section are notified three times: (1) upon observing or suspecting ingestion, (2) when transport to hospital is initiated, and (3) when 84 (arrived) at hospital. The prisoner goes DIRECTLY to the nearest hospital — never to the stationhouse first.","Prisoners","210",chapter_210 210_prisoners
"**18.** In P.G. 210-02, a prisoner's lawyer requests to interview the prisoner at the hospital. Under the Patrol Guide, the lawyer is classified as:

A) A) An Interviewer — same as at the precinct under 210-01
B) B) A Visitor — ""if requested"" by the prisoner
C) C) Not permitted to visit hospitalized prisoners
D) D) An Interviewer only if approved by the Commanding Officer","**Answer: B**

Under P.G. 210-02, a lawyer drops from the ""Interviewer"" list (where they appear in 210-01 at the precinct) to the ""Visitor"" list at the hospital. The lawyer may visit ""if requested"" by the prisoner. This is one of the key differences between the 210-01 and 210-02 interviewer/visitor lists.","Prisoners","210",chapter_210 210_prisoners
"**19.** A prisoner requires psychiatric admission. Generally, male prisoners are transported to which facility, and by what means?

A) A) Elmhurst General by FDNY EMS
B) B) Bellevue by FDNY EMS
C) C) Bellevue by private ambulance contract
D) D) Kings County Hospital by RMP","**Answer: C**

Per P.G. 210-04, male prisoners requiring psychiatric admission are generally transported to Bellevue (women to Elmhurst General). Transport is by hospital via private contract — NOT FDNY EMS. The escorting officer rides in the private ambulance with the prisoner.","Prisoners","210",chapter_210 210_prisoners
"**20.** How many copies of the typed letterhead (49) report does the Commanding Officer forward to the Chief of Department for an unusual occurrence involving an adult prisoner?

A) A) 1 copy
B) B) 2 copies
C) C) 3 copies
D) D) 4 copies","**Answer: C**

Per P.G. 210-07, the number of copies sent to the Chief of Department varies: 3 for an adult prisoner, 2 for a child in custody who is DOA, and 1 for a child in custody (not DOA). One additional copy goes to each: Chief of Patrol, Chief of IAB, Chief of Training, C.O. CJB, C.O. Performance Monitoring Unit, each intermediate command, and C.O. of UMOS if different.","Prisoners","210",chapter_210 210_prisoners
"**21.** A family member brings prescription medication to the precinct for a prisoner who has already been transferred to another facility. What documentation is required?

A) A) Single Command Log entry at the receiving facility
B) B) Dual Command Log entries — both the notifying supervisor and the receiving D.O. make entries
C) C) Telephone Record only
D) D) Activity Log entry by the desk officer","**Answer: B**

Per P.G. 210-04, when a prisoner is not at the facility where family brought medication, the supervisor contacts the D.O. at the facility where the prisoner is located. Both the notifying supervisor AND the receiving D.O. make Command Log entries, including time of notification, prisoner's name, and name of supervisor receiving/making notification.","Prisoners","210",chapter_210 210_prisoners
"**22.** Who decides whether to remove handcuffs entirely from a hospitalized prisoner when restraint is deemed ""impractical or inexpedient"" (e.g., prisoner is comatose)?

A) A) The Patrol Supervisor
B) B) The Commanding Officer
C) C) The attending physician
D) D) The Desk Officer, Precinct of Hospitalization","**Answer: D**

Per P.G. 210-02, the Desk Officer, Precinct of Hospitalization decides whether cuffs are removed when deemed ""impractical or inexpedient."" The Patrol Supervisor confers with the doctor and makes a recommendation, but the D.O. makes the final decision. Do not confuse with pregnant prisoner restraint (where the immediate supervisor decides).","Prisoners","210",chapter_210 210_prisoners
"**1.** According to P.G. 211-05, how many times daily must the roll call clerk access the CPR System to check for court appearance notifications?

A) A) Once, at the beginning of the business day
B) B) Twice — beginning and end of the business day
C) C) Three times — beginning, midpoint, and 30 minutes before close
D) D) Four times — at regular intervals throughout the day","**Answer: C**

The roll call clerk must access the CPR System 3 times daily: (1) at the beginning of the business day, (2) at the midpoint of roll call office hours, and (3) 30 minutes before the close of roll call office hours.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**2.** Which of the following is a valid reason to cancel a court appearance under P.G. 211-05?

A) A) Member has a personal appointment
B) B) Member is sick, after conferral with the district surgeon
C) C) Member left a voicemail with the DA's office requesting cancellation
D) D) Member's supervisor determines the appearance is unnecessary","**Answer: B**

Cancellation is accepted ONLY if the member is: sick (after conferral with district surgeon), on annual vacation selection, military leave, bereavement leave, or terminal leave. A voicemail is never sufficient — the requesting agency must explicitly concur.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**3.** A ""short date notification"" under P.G. 211-05 is defined as:

A) A) A notification for a member to appear within 72 hours
B) B) A notification for a member to appear the next day, or a notification delivered on Friday for a Monday appearance
C) C) A notification received less than one week before the appearance date
D) D) Any notification that bypasses the normal CPR System process","**Answer: B**

A short date notification is a notification for a member to appear the next day, or a notification delivered on Friday for a Monday appearance. It is time-sensitive and triggers immediate email notifications to the member, roll call personnel, operations coordinator, and integrity control officer.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**4.** Under the 4th Platoon Rule in P.G. 211-05, a member normally assigned to the 4th platoon (1800x0200) who is subpoenaed to appear in court the next day shall be:

A) A) Excused from the court appearance
B) B) Placed on overtime for the court appearance
C) C) Reassigned to the 3rd platoon (1600x2400)
D) D) Reassigned to the 1st platoon (0800x1600)","**Answer: C**

Members normally assigned to 4th platoon (1800x0200) who are subpoenaed or directed to appear the next day are reassigned to the 3rd platoon (1600x2400). Members not notified in advance who are already on the 4th platoon are excused at 2400 hours, with no overtime authorized for the 2400-0200 period.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**5.** Under the criminal court telephone alert system (P.G. 211-06), a member on alert shall not be given a meal period before what time?

A) A) 1100 hours
B) B) 1200 hours
C) C) 1300 hours
D) D) 1400 hours","**Answer: C**

Under the criminal court telephone alert, NO meal period is authorized before 1300 hours. The member must remain available for a call to court.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**6.** If a member on criminal court telephone alert is not directed to report to court by 1300 hours, what happens?

A) A) The member is placed on standby until end of tour
B) B) The alert is NOT activated for that day
C) C) The member is assigned to administrative duties
D) D) The member is directed to contact ACU for further instructions","**Answer: B**

If a member on telephone alert is not directed to court by 1300 hours, the alert is NOT activated for that day. The 1300 hours cutoff is absolute.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**7.** Under P.G. 211-06, the ACU supervisor must notify the commanding officer IN WRITING when:

A) A) A member requests a schedule change due to court
B) B) A member fails to appear when called OR appears in court without being called
C) C) A member's court case is adjourned
D) D) A member is placed on telephone alert for three consecutive days","**Answer: B**

The ACU supervisor must notify the CO in writing when: (a) a member fails to appear when called to court, OR (b) a member appears in court without being called. Both scenarios trigger mandatory written notification.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**8.** When a member intends to testify before a governmental agency about Department operations (P.G. 211-09), written notification must be forwarded to the Police Commissioner no later than:

A) A) 3 business days before the appearance
B) B) 5 business days before the appearance
C) C) 7 calendar days before the appearance
D) D) 10 business days before the appearance","**Answer: B**

Written notification must be forwarded no later than 5 business days before the testimony. If unable to meet this deadline, the member must immediately notify the Office of the Police Commissioner or Legal Bureau by telephone.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**9.** Under P.G. 211-09, the written request to the Police Commissioner for appearances before governmental agencies is prepared in how many copies?

A) A) Duplicate (2 copies)
B) B) Triplicate (3 copies)
C) C) Quadruplicate (4 copies)
D) D) A single original only","**Answer: B**

The written request is prepared in triplicate: the original goes direct to the Police Commissioner, one copy goes through channels to the Police Commissioner, and one copy goes direct to the Deputy Commissioner, Public Information.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**10.** A member who wishes to voluntarily testify before a private organization about Department policies must obtain:

A) A) Verbal approval from their commanding officer
B) B) Prior written approval from the Police Commissioner
C) C) Approval from the Legal Bureau only
D) D) No prior approval, but must file a report afterward","**Answer: B**

Voluntary appearances require PRIOR WRITTEN APPROVAL from the Police Commissioner. This is distinct from subpoenaed appearances, which require notification but not prior approval (since the member is legally compelled to appear).","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**11.** At the Traffic Violations Bureau, which form is NOT used to record officer court attendance?

A) A) Officer Time Slip
B) B) Activity Log
C) C) Court Attendance Record (PD468-141)
D) D) Officer's Notes copy of summons","**Answer: C**

The Court Attendance Record (PD468-141) is NOT used for TVB appearances. Instead, the computerized Officer Time Slip is used to record TVB hearing attendance and dispositions.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**12.** Under P.G. 211-11, the training sergeant's monthly review of TVB dispositions involves selecting how many members for potential retraining?

A) A) 5 members with the most dismissals
B) B) 10 members with the highest percentage of dismissals
C) C) All members with any dismissals
D) D) 15 members with the most court appearances","**Answer: B**

The training sergeant monthly selects 10 members with the highest percentage of dismissals for failure to establish prima facie case or Not Guilty due to unclear evidence. These members are retrained and/or subject to corrective action.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**13.** Under the Freedom of Information Law (FOIL), the Department must respond to a records request within:

A) A) 3 business days
B) B) 5 business days
C) C) 10 business days
D) D) 30 calendar days","**Answer: B**

FOIL requires a response within 5 business days. The response must either: (1) make the record available, (2) deny the request in writing, or (3) acknowledge receipt with an approximate date of availability.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**14.** A subpoena issued by a court in another state (not New York) is:

A) A) Always valid and must be complied with immediately
B) B) Valid only if served within New York City
C) C) NOT valid unless presented to and endorsed by a New York State judge
D) D) Valid only for criminal matters, not civil","**Answer: C**

Out-of-state subpoenas (criminal or civil) are NOT valid unless presented to and endorsed by a New York State judge. However, the Department should make every reasonable effort to assist other jurisdictions, with permission obtained through channels.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**15.** Under P.G. 211-20, if a member receives advice from a supervisor or ADA that contradicts the Department attorney's prior advice, the member MUST:

A) A) Follow the supervisor's or ADA's advice as the most recent guidance
B) B) Use personal judgment to determine the best course of action
C) C) Follow the Department attorney's advice and inform the other party of the prior conferral
D) D) Request a meeting between the Department attorney and the supervisor/ADA before taking action","**Answer: C**

The member MUST inform the individual giving contrary advice of the prior conferral with the Department attorney. If there is a suggestion to disregard the Department attorney's advice, the member or supervisor MUST notify the Department attorney and MUST FOLLOW THE DEPARTMENT ATTORNEY'S ADVICE. Disregarding Department attorney advice may result in disciplinary action and civil liability.","Court & Agency Appearances","211",chapter_211 211_court_appearances
"**1.** Who is required to use a paper Activity Log (PD112-145) instead of the digital Activity Log?

A) A) Members on light duty
B) B) Auxiliary police officers
C) C) Undercover officers
D) D) Members above the rank of captain","**Answer: C**

Per P.G. 212-08, undercovers use the paper Activity Log (PD112-145) and shall NOT use the digital version.","Command Operations","212",chapter_212 212_command_operations
"**2.** Entries in the Interrupted Patrol Log are made in whose handwriting?

A) A) The member reporting to the stationhouse
B) B) The desk officer's own handwriting
C) C) The patrol supervisor on duty
D) D) The platoon commander","**Answer: B**

Per P.G. 212-10, the desk officer makes all entries in the Interrupted Patrol Log in their own handwriting and maintains the log under direct control.","Command Operations","212",chapter_212 212_command_operations
"**3.** Activity Logs are considered potential what type of material?

A) A) Brady material
B) B) Rosario material
C) C) Classified material
D) D) Privileged material","**Answer: B**

Per P.G. 212-08, Activity Logs are potential Rosario material and may be reviewed by the Department, outside agencies, DAs, and defense attorneys.","Command Operations","212",chapter_212 212_command_operations
"**4.** Under the 4th platoon rule, members subpoenaed for next-day court are reassigned to which platoon?

A) A) 1st platoon
B) B) 2nd platoon
C) C) 3rd platoon (1600x2400)
D) D) They remain on the 4th platoon","**Answer: C**

Per P.G. 212-03, members on the 4th platoon (1800x0200) who are subpoenaed for next-day court (2nd platoon) are reassigned to the 3rd platoon. If not notified in advance, they are excused at 2400 hours with no OT for the 2400-0200 period.","Command Operations","212",chapter_212 212_command_operations
"**5.** Before evacuating transit passengers to the benchwall or roadbed, what must happen first?

A) A) A rescue train must be positioned
B) B) Power must be removed
C) C) The duty captain must approve
D) D) ESU must arrive on scene","**Answer: B**

Per P.G. 212-16, when evacuating passengers to the benchwall or roadbed, power MUST be removed first. Power is NOT removed for reach trains or rescue trains.","Command Operations","212",chapter_212 212_command_operations
"**6.** What distinguishes a ""reach train"" from a ""rescue train""?

A) A) Reach trains use emergency devices; rescue trains do not
B) B) Reach trains involve walking through the stalled train; rescue trains involve cross-platform transfer via emergency devices
C) C) Reach trains require power removal; rescue trains do not
D) D) There is no difference; the terms are interchangeable","**Answer: B**

Per P.G. 212-16, neither requires power removal.","Command Operations","212",chapter_212 212_command_operations
"**7.** The transit radio code 10-75T indicates what?

A) A) Transit station inspection by Transit member
B) B) Transit patrol by a non-Transit member
C) C) Transit emergency evacuation
D) D) Mobile order maintenance","**Answer: B**

Per P.G. 212-23, 10-75T is for transit patrol by non-Transit personnel. 10-75S is station inspection by Transit, and 10-75M is mobile order maintenance.","Command Operations","212",chapter_212 212_command_operations
"**8.** Emergency alarm boxes in the subway are spaced how far apart and located where?

A) A) 200-400 feet apart, under red lights
B) B) 400-600 feet apart, under blue lights
C) C) 600-800 feet apart, under yellow lights
D) D) 100-200 feet apart, under green lights","**Answer: B**

Per P.G. 212-24, emergency alarm boxes are located 400-600 feet apart beneath blue lights. Pulling the lever removes power on ALL tracks in the vicinity.","Command Operations","212",chapter_212 212_command_operations
"**9.** Can members require proof of disability or documentation for a service animal on public transportation?

A) A) Yes, written documentation is required
B) B) Yes, but only a verbal confirmation
C) C) No, but members may inquire if the animal is providing disability assistance
D) D) No, members may not ask any questions","**Answer: C**

Per P.G. 212-19, members CANNOT require proof of disability or documentation. They may only ask if the animal is providing disability assistance.","Command Operations","212",chapter_212 212_command_operations
"**10.** What photography/recording is permitted on the transit system without a press ID?

A) A) No photography of any kind
B) B) Camera alone with no ancillary equipment
C) C) Camera with a tripod only
D) D) Camera with lights and reflectors","**Answer: B**

Per P.G. 212-21, photography and recording are permitted, but ancillary equipment (lights, reflectors, tripods) may NOT be used without a valid MOME press ID.","Command Operations","212",chapter_212 212_command_operations
"**11.** MOME Press Card holders are entitled to what access?

A) A) Access to interior crime scenes
B) B) Access to cross police and fire lines
C) C) Access to security-restricted areas
D) D) Access to all areas without restriction","**Answer: B**

Per P.G. 212-49, MOME press card holders are entitled to cross police and fire lines. This does NOT include interior crime scenes or security-restricted areas.","Command Operations","212",chapter_212 212_command_operations
"**12.** During First Amendment Activity, if NYPD orders persons to leave an area, what happens to MOME press?

A) A) They must leave with everyone else
B) B) They are arrested if they refuse to leave
C) C) They are NOT required to leave but should move to a safe location
D) D) They may stay only with incident commander approval","**Answer: C**

Per P.G. 212-49, during First Amendment Activity, MOME press are not required to leave even if NYPD orders persons to leave — they should be directed to a safe location.","Command Operations","212",chapter_212 212_command_operations
"**13.** Before polls open, the scanner machine public counter must read what?

A) A) Any number below 100
B) B) The same as the protective counter
C) C) Zero (0)
D) D) The number of registered voters","**Answer: C**

Per P.G. 212-86, ALL scanner machine public counters must read zero before polls open. If not zero, the desk officer/supervisor must be notified immediately and the scanner shall NOT be used. The protective counter will likely NOT be zero — do not confuse the two.","Command Operations","212",chapter_212 212_command_operations
"**14.** No-electioneering signs must be posted within how many feet of the poll site entrance?

A) A) 50 feet
B) B) 75 feet
C) C) 100 feet
D) D) 200 feet","**Answer: C**

Per P.G. 212-86, the Board of Elections must post no-electioneering signs within 100 feet of the poll site entrance.","Command Operations","212",chapter_212 212_command_operations
"**15.** Polls close at what time, and what is the rule for persons on line?

A) A) 2000 hours; all persons must leave immediately
B) B) 2100 hours; persons on line may vote, no new entries after 2100
C) C) 2200 hours; persons on line may vote
D) D) 2100 hours; no one may vote after 2100","**Answer: B**

Per P.G. 212-87, polls close at 2100 hours. Persons already on line at closing may vote, but NO new persons may join the line after 2100.","Command Operations","212",chapter_212 212_command_operations
"**16.** Temporary Extreme Risk Protection Orders (ERPOs) are served by whom?

A) A) NYPD patrol officers
B) B) The precinct detective squad
C) C) NYC Sheriff's Office
D) D) US Marshals Service","**Answer: C**

Per P.G. 212-128, temporary ERPOs are served by the NYC Sheriff's Office, NOT by NYPD.","Command Operations","212",chapter_212 212_command_operations
"**17.** Firearms seized under an ERPO are retained for a minimum of how long?

A) A) 6 months
B) B) 1 year
C) C) 2 years
D) D) 5 years","**Answer: C**

Per P.G. 212-128, firearms are retained for a minimum of 2 years. No release is permitted without written authorization from CO, License Division (and CO, Medical Division if the subject is a MOS).","Command Operations","212",chapter_212 212_command_operations
"**18.** What is the maximum age for an AMBER Alert subject?

A) A) 12 or younger
B) B) 15 or younger
C) C) 17 or younger
D) D) 18 or younger","**Answer: C**

Per P.G. 212-99, the child must be 17 or younger and police must believe the child is in imminent danger of serious bodily harm or death.","Command Operations","212",chapter_212 212_command_operations
"**19.** Who may request AMBER Alert activation?

A) A) Any sergeant or above
B) B) The precinct commanding officer
C) C) A Captain or above from the Detective Bureau
D) D) The Operations Unit duty officer","**Answer: C**

Per P.G. 212-99, only a Captain or above from the Detective Bureau may request activation through the NYS Police Communications Section.","Command Operations","212",chapter_212 212_command_operations
"**20.** Within what timeframe can an AMBER Alert be cancelled by fax to NYS Police?

A) A) 4 hours
B) B) 6 hours
C) C) 8 hours
D) D) 12 hours","**Answer: C**

Per P.G. 212-99, cancellation within 8 hours is by fax to NYS Police. After 8 hours, cancellation is through DCPI media notification.","Command Operations","212",chapter_212 212_command_operations
"**21.** Facial recognition technology establishes what level of evidence?

A) A) Probable cause for arrest
B) B) Reasonable suspicion for a stop
C) C) Investigative lead only — NOT probable cause
D) D) Proof beyond reasonable doubt","**Answer: C**

Per P.G. 212-129, facial recognition does not establish probable cause by itself. A possible match candidate is an investigative lead only.","Command Operations","212",chapter_212 212_command_operations
"**22.** The facial recognition photo repository contains only what type of images?

A) A) Driver's license photos
B) B) Social media photos
C) C) Arrest and parole photographs
D) D) Surveillance camera captures","**Answer: C**

Per P.G. 212-129, the photo repository contains ONLY arrest and parole photographs. Use of images outside this repository is prohibited unless approved by the Chief of Detectives, Intelligence and Counterterrorism Bureau, or Chief of Intelligence.","Command Operations","212",chapter_212 212_command_operations
"**23.** VGTOF Handling Code 1 means what?

A) A) Detain — reasonable suspicion
B) B) Arrest — warrant exists, approach with caution
C) C) Investigation — do not alert individual
D) D) Information gathering only","**Answer: B**

Per P.G. 212-108, Handling Code 1 = Arrest (warrant exists), Code 2 = Detain, Code 3 = Investigation (do not alert), Code 4 = Information gathering (do not alert).","Command Operations","212",chapter_212 212_command_operations
"**24.** Can a diplomat with full immunity be arrested?

A) A) Yes, for any felony
B) B) Yes, but only for violent felonies
C) C) No, but may be issued a summons
D) D) No, and may not be issued a summons","**Answer: C**

Per P.G. 212-56, diplomats with immunity shall NOT be arrested but MAY be issued a summons. Pending verification, they may be detained if a danger to self or public.","Command Operations","212",chapter_212 212_command_operations
"**25.** In a Level 2 investigative encounter, the UMOS requests consent to search. What document must be prepared?

A) A) Stop Report
B) B) Common Law Right of Inquiry — Consent Search Report (CLRI)
C) C) Level 2 Encounter Report only
D) D) Arrest Report","**Answer: B**

Per P.G. 212-11, when consent to search is requested at Level 2, the UMOS prepares a CLRI. At Level 3, the request is documented on the Stop Report instead.","Command Operations","212",chapter_212 212_command_operations
"**26.** What does the HARBOR mnemonic stand for regarding when Crime Scene Unit must respond?

A) A) Homicide, Assault (any), Robbery, Burglary (any), Officer-involved, Rape
B) B) Homicide, Aggravated assault (likely to die), Rape (forcible), Burglary (forced safe/circumvented alarm), Other (CSU will assist), Robbery/hijacking (firearm caused injury)
C) C) Homicide, Arson, Robbery, Burglary, Obstruction, Rape
D) D) Homicide, Assault (SPI), Robbery (any), Burglary (safe involved), Other crimes, Rape","**Answer: B**

Per P.G. 212-04, these are the specific criteria for mandatory CSU response.","Command Operations","212",chapter_212 212_command_operations
"**27.** At a hazmat scene, what is the minimum outdoor evacuation distance for an explosion or suspected device?

A) A) 300 feet
B) B) 500 feet
C) C) 1,000 feet
D) D) 1,500 feet","**Answer: C**

Per P.G. 212-37, the minimum outdoor distance for any explosion or suspected device is 1,000 feet. For spills and most fires, the distance is 300 feet. The 1,000-foot distance also applies to fires involving military shipments or tanker trucks.","Command Operations","212",chapter_212 212_command_operations
"**28.** During a bomb threat search, teams must discontinue searching how long before the threatened explosion time?

A) A) 10 minutes
B) B) 15 minutes
C) C) 20 minutes
D) D) 30 minutes","**Answer: C**

Per P.G. 212-40, search teams must discontinue 20 minutes prior to the threatened explosion time, regardless of whether the premise is evacuated or occupied. Search must NOT resume for at least 1 hour after the threatened time.","Command Operations","212",chapter_212 212_command_operations
"**29.** At a post-explosion bomb scene, who removes injured persons to safe locations for medical treatment?

A) A) EMS
B) B) FDNY
C) C) ESU
D) D) Responding UMOS","**Answer: C**

Per P.G. 212-40, the patrol supervisor/ranking officer directs ESU to remove injured to safe locations — not EMS. EMS administers medical treatment at the safe locations, but the physical removal is an ESU responsibility.","Command Operations","212",chapter_212 212_command_operations
"**30.** The RATCOP mnemonic identifies information that may only be released after conferral with DCPI AND which other official?

A) A) Borough Commander
B) B) Chief of Patrol
C) C) Chief of Detectives
D) D) Police Commissioner","**Answer: C**

Per P.G. 212-77, RATCOP items (Reputation, Anticipated testimony, Test results/refusal, Credibility, Opinion/speculation, Photos/films/mug shots) require conferral with both DCPI and Chief of Detectives before release.","Command Operations","212",chapter_212 212_command_operations
"**31.** Under PG 212-123, who prepares the Typed Letterhead (49) when a member fails to record a mandatory BWC event vs. when a member records a prohibited incident?

A) A) Patrol Supervisor writes both
B) B) Commanding Officer writes both
C) C) Fail to record: Patrol Supervisor; Prohibited recording: Commanding Officer
D) D) Fail to record: Commanding Officer; Prohibited recording: Patrol Supervisor","**Answer: C**

Per P.G. 212-123, know who writes and who receives in each scenario.","Command Operations","212",chapter_212 212_command_operations
"**32.** BWC video is automatically deleted after how many months?

A) A) 12 months
B) B) 18 months
C) C) 24 months
D) D) 39 months","**Answer: D**

Per P.G. 212-123, BWC video is automatically deleted after 39 months. Certain categories (arrest, homicide) may be retained longer. The C.O. may request extended retention through channels to DC Information Technology.","Command Operations","212",chapter_212 212_command_operations
"**33.** At what alarm level does FDNY notify NYPD Operations, and at what alarm level does the Desk Officer notify Operations?

A) A) FD notifies at 2 alarms; D.O. notifies at 3 alarms
B) B) FD notifies at 3 alarms; D.O. notifies at 2 alarms
C) C) Both notify at 2 alarms
D) D) Both notify at 3 alarms","**Answer: A**

Per P.G. 212-58, this is a commonly tested distinction about who initiates the Operations notification at each alarm level.","Command Operations","212",chapter_212 212_command_operations
"**34.** In PG 212-52 (Labor Disputes), certain harassment charges will NOT be enforced. Which type of harassment WILL be enforced?

A) A) Harassment 1st degree (PL 240.25)
B) B) Harassment 2nd degree (PL 240.20)
C) C) Any violence or physical harassment (strike/shove/kick)
D) D) Following a person in a public place","**Answer: C**

Per P.G. 212-52, Harassment 1st degree (PL 240.25) and Harassment 2nd degree (PL 240.20) will NOT be enforced at labor disputes. However, any actual violence or physical harassment — striking, shoving, kicking, or attempting/threatening same — WILL be enforced.","Command Operations","212",chapter_212 212_command_operations
