Front,Back,Source,Tags
"**84.** Which of the following is NOT an authorized use of O.C. pepper spray?

A) A) Gaining control of a person actively resisting arrest
B) B) Preventing an individual from injuring themselves
C) C) Controlling a subject who is passively resisting
D) D) Controlling a dangerous animal","**Answer: C**

Source: P.G. 221-07

P.G. 221-07 prohibits O.C. pepper spray on persons who are passively resisting, reserving it for active resistance or aggression.","P.G. 221-07",master_exam question_84
"**85.** When a UMOS discharges a firearm outside of NYC, the Operations Unit must be notified within:

A) A) 1 hour
B) B) 6 hours
C) C) 12 hours
D) D) 24 hours","**Answer: B**

Source: P.G. 221-04

P.G. 221-04 requires the Operations Unit to be notified within 6 hours when a UMOS discharges a firearm outside NYC.","P.G. 221-04",master_exam question_85
"**86.** Under the Citywide Incident Management System, what are the four resource statuses?

A) A) Available, Assigned, Out-of-Service, Staged
B) B) Active, Reserve, Deployed, Standby
C) C) Ready, Committed, Released, Unavailable
D) D) On-scene, En-route, Staged, Demobilized","**Answer: A**

Source: P.G. 220-01

Under CIMS, the four resource statuses are Available, Assigned, Out-of-Service, and Staged.","P.G. 220-01",master_exam question_86
"**87.** The CIMS General Staff consists of:

A) A) Operations, Planning, Logistics, Finance/Administration
B) B) Operations, Intelligence, Communications, Support
C) C) Command, Operations, Planning, Support
D) D) Patrol, Detective, Support, Administrative","**Answer: A**

Source: P.G. 220-01

The CIMS General Staff consists of Operations, Planning, Logistics, and Finance/Administration Section Chiefs.","P.G. 220-01",master_exam question_87
"**88.** In CIMS, who is responsible for developing the Incident Action Plan?

A) A) Operations Section Chief
B) B) Planning Section Chief
C) C) Incident Commander
D) D) Logistics Section Chief","**Answer: B**

Source: P.G. 220-01

The Planning Section Chief is responsible for collecting information and preparing the Incident Action Plan.","P.G. 220-01",master_exam question_88
"**89.** A summons may be issued in lieu of arrest for:

A) A) Any felony
B) B) Certain misdemeanors and violations only
C) C) All crimes
D) D) Only traffic violations","**Answer: B**

Source: P.G. 209-01

P.G. 209-01 limits summons in lieu of arrest to certain misdemeanors and violations only.","P.G. 209-01",master_exam question_89
"**90.** When serving a summons, the officer must:

A) A) Arrest the individual if they refuse to sign
B) B) Explain the summons and obtain signature; if refused, note refusal
C) C) Leave the summons at the person's residence
D) D) Mail the summons within 24 hours","**Answer: B**

Source: P.G. 209-01

P.G. 209-01 requires the officer to explain the summons and obtain signature; if refused, note the refusal.","P.G. 209-01",master_exam question_90
"**91.** The primary duty of all MOS when responding to an EDP is to:

A) A) Effect arrest
B) B) Preserve human life
C) C) Protect property
D) D) Gather evidence","**Answer: B**

Source: P.G. 221-13

P.G. 221-13 states the primary duty of all MOS at an EDP scene is to preserve human life.","P.G. 221-13",master_exam question_91
"**92.** If an EDP is contained and believed armed/violent but poses no immediate threat, the supervisor should:

A) A) Attempt to subdue the EDP
B) B) Deploy tear gas
C) C) Take no additional action without CO/duty captain authorization
D) D) Order ESU to breach immediately","**Answer: C**

Source: P.G. 221-13

P.G. 221-13 directs the supervisor to take no additional action without CO/duty captain authorization when an EDP is contained but not an immediate threat.","P.G. 221-13",master_exam question_92
"**93.** The return of a UMOS to their permanent command after a firearms discharge causing death or injury requires approval of:

A) A) The Chief of Department
B) B) The patrol borough commander
C) C) The First Deputy Commissioner
D) D) The Police Commissioner","**Answer: C**

Source: P.G. 221-04

P.G. 221-04 requires First Deputy Commissioner approval for return to permanent command after a firearms discharge causing death or injury.","P.G. 221-04",master_exam question_93
"**94.** A supervisory officer is MANDATED to contact the Counseling Services Unit when a member is:

A) A) Under criminal investigation only
B) B) Placed on modified assignment, suspended, or has firearms removed due to unfitness
C) C) Transferred to another command
D) D) Issued command discipline","**Answer: B**

Source: A.G. 318-10

A.G. 318-10 mandates supervisory contact with Counseling Services when a member is placed on modified assignment, suspended, or has firearms removed.","A.G. 318-10",master_exam question_94
"**95.** A UMOS who refuses chemical testing for alleged DWI will be charged with:

A) A) A.G. 304-04, ""Fitness For Duty""
B) B) A.G. 304-06, ""Prohibited Conduct""
C) C) A.G. 318-10, ""Removal of Firearms""
D) D) P.G. 221-23, ""Alcohol Testing""","**Answer: B**

Source: A.G. 304-04

A UMOS who refuses chemical testing for alleged DWI is charged with A.G. 304-06, Prohibited Conduct.","A.G. 304-04",master_exam question_95
"**96.** POPPA is best described as:

A) A) A Department disciplinary unit
B) B) A joint labor-management, union-operated employee assistance program
C) C) A civilian oversight board
D) D) An Internal Affairs Bureau division","**Answer: B**

Source: A.G. 304-04

POPPA is a joint labor-management, union-operated employee assistance program offering confidential peer support.","A.G. 304-04",master_exam question_96
"**97.** The determination of ""reasonable time"" for counsel before interrogation is made by:

A) A) The member's commanding officer
B) B) The desk officer
C) C) The captain (or above) in charge of the investigation
D) D) The member's union representative","**Answer: C**

Source: A.G. 318-11

A.G. 318-11 specifies the captain (or above) in charge of the investigation determines reasonable time for counsel.","A.G. 318-11",master_exam question_97
"**98.** When a UMOS is armed in NYC while off duty, the member may be unarmed if there is a likelihood of:

A) A) Working late
B) B) Attending a meeting
C) C) Consuming alcohol
D) D) Shopping","**Answer: C**

Source: A.G. 305-07

A.G. 305-07 lists likelihood of consuming alcohol as a specific circumstance permitting a UMOS to be unarmed off duty in NYC.","A.G. 305-07",master_exam question_98
"**99.** How many forms must the investigating supervisor prepare when a civilian member is injured on duty?

A) A) 3
B) B) 4
C) C) 5
D) D) 6","**Answer: C**

Source: A.G. 319-08

A.G. 319-08 requires the investigating supervisor to prepare 5 forms when a civilian member is injured on duty.","A.G. 319-08",master_exam question_99
"**100.** A UMOS wishing to retain a Department-issued service firearm (post-1/15/13) must obtain a NICS check within how many days before separation?

A) A) 15 days
B) B) 30 days
C) C) 60 days
D) D) 90 days","**Answer: B**

Source: A.G. 329-06

A.G. 329-06 requires a NICS check no more than 30 days prior to separation for retaining a Department-issued firearm.","A.G. 329-06",master_exam question_100
"**101.** Under vehicle checkpoint rules, stops must be conducted in a:

A) A) Random manner at the officer's discretion
B) B) Non-arbitrary manner (e.g., every third vehicle)
C) C) Manner targeting specific vehicle types
D) D) Way that maximizes the number of stops","**Answer: B**

Source: P.G. 221-16

P.G. 221-16 mandates vehicle checkpoint stops be conducted in a non-arbitrary manner, such as every third vehicle.","P.G. 221-16",master_exam question_101
"**102.** At a vehicle checkpoint, at least how many Department vehicles are required?

A) A) 1
B) B) 2
C) C) 3
D) D) 4","**Answer: B**

Source: P.G. 221-16

P.G. 221-16 requires a minimum of two Department vehicles at any vehicle checkpoint.","P.G. 221-16",master_exam question_102
"**103.** A supervisor must remain at a vehicle checkpoint for:

A) A) The first hour
B) B) The entire operation
C) C) Spot checks only
D) D) Until relieved by the desk officer","**Answer: B**

Source: P.G. 221-16

P.G. 221-16 requires the supervisor to remain at the checkpoint for the entire operation.","P.G. 221-16",master_exam question_103
"**104.** When property is invoiced and the value exceeds $5,000, notification must be made to:

A) A) The desk officer only
B) B) The commanding officer and Operations Unit
C) C) Internal Affairs Bureau
D) D) The Chief of Department","**Answer: B**

Source: P.G. 218-01

P.G. 218-01 requires notification to the commanding officer and Operations Unit when invoiced property exceeds $5,000.","P.G. 218-01",master_exam question_104
"**105.** Under P.G. 216-01, when an aided case involves a person in need of medical assistance, the FIRST action is to:

A) A) Prepare an AIDED REPORT
B) B) Request an ambulance
C) C) Administer appropriate first aid
D) D) Notify the desk officer","**Answer: C**

Source: P.G. 216-01

P.G. 216-01 directs the responding member to immediately administer appropriate first aid as the first action for a person in need.","P.G. 216-01",master_exam question_105
"**106.** A CEW exposure beyond how many seconds may increase the risk of death or serious injury?

A) A) 5 seconds
B) B) 10 seconds
C) C) 15 seconds
D) D) 20 seconds","**Answer: C**

Source: P.G. 221-08

P.G. 221-08 states CEW exposure beyond 15 seconds may increase the risk of death or serious physical injury.","P.G. 221-08",master_exam question_106
"**107.** The RESIGNATION AND EXIT INTERVIEW must be distributed within:

A) A) 24 hours
B) B) 3 business days
C) C) 5 business days
D) D) 10 business days","**Answer: C**

Source: A.G. 329-07

A.G. 329-07 requires the Resignation and Exit Interview to be distributed within 5 business days.","A.G. 329-07",master_exam question_107
"**108.** Operations Unit personnel notify all of the following upon learning of a resignation EXCEPT:

A) A) Communications Section
B) B) Internal Affairs Bureau
C) C) Payroll Section
D) D) The member's union representative","**Answer: D**

Source: A.G. 329-07

Upon learning of a resignation, Operations Unit notifies Communications Section, IAB, Payroll, and others — but not the union representative.","A.G. 329-07",master_exam question_108
"**109.** If a LOD designation cannot be made expeditiously, a report must be forwarded to Medical Division within:

A) A) 30 days
B) B) 60 days
C) C) 90 days
D) D) 120 days","**Answer: B**

Source: A.G. 330-03

A.G. 330-03 requires a report to Medical Division within 60 days if LOD designation cannot be made expeditiously.","A.G. 330-03",master_exam question_109
"**110.** If a LOD injury comes under FECA, the CO forwards documentation to Medical Division within:

A) A) 30 days
B) B) 60 days
C) C) 90 days
D) D) 180 days","**Answer: C**

Source: A.G. 330-03

A.G. 330-03 requires FECA documentation to be forwarded to Medical Division within 90 days.","A.G. 330-03",master_exam question_110
"**111.** When multiple individuals are exposed to an infectious disease at a scene, documentation is coordinated by:

A) A) The desk officer
B) B) The patrol supervisor at the scene
C) C) The first member to arrive
D) D) Emergency Medical Services","**Answer: B**

Source: A.G. 330-09

A.G. 330-09 designates the patrol supervisor as coordinator for documenting multiple exposures to infectious disease.","A.G. 330-09",master_exam question_111
"**112.** Department computers are intended for:

A) A) Personal and official business
B) B) Official Department business only
C) C) Any lawful purpose
D) D) Official business during tours and personal use after hours","**Answer: B**

Source: A.G. 325-35

A.G. 325-35 states Department computers are intended for official Department business only.","A.G. 325-35",master_exam question_112
"**113.** The Department may review material on computer systems:

A) A) Only with prior notice to the member
B) B) Only during the member's assigned tour
C) C) At any time, with or without notice
D) D) Only with a court order","**Answer: C**

Source: A.G. 325-35

A.G. 325-35 reserves the Department's right to review computer systems at any time, with or without notice.","A.G. 325-35",master_exam question_113
"**114.** Under P.G. 213-01, when a mobilization is ordered, the desk officer must:

A) A) Wait for written confirmation
B) B) Immediately notify all members in the command
C) C) Make a Command Log entry and comply with mobilization plan
D) D) Contact the Chief of Patrol for authorization","**Answer: C**

Source: P.G. 213-01

P.G. 213-01 requires the desk officer to make a Command Log entry and comply with the mobilization plan.","P.G. 213-01",master_exam question_114
"**115.** Force incident levels do NOT apply to injuries sustained by:

A) A) Prisoners
B) B) Civilians
C) C) Members of the service
D) D) Bystanders","**Answer: C**

Source: P.G. 221-06

P.G. 221-06 states force incident levels do not apply to injuries sustained by members of the service.","P.G. 221-06",master_exam question_115
"**116.** The Trauma Counseling Team will NOT:

A) A) Respond to the station house
B) B) Visit the place of occurrence
C) C) Interfere with ongoing investigations
D) D) Contact members for follow-up","**Answer: C**

Source: A.G. 330-07

A.G. 330-07 states the Trauma Counseling Team will not interfere with ongoing investigations.","A.G. 330-07",master_exam question_116
"**117.** Under A.G. 305-07, a UMOS carrying a firearm into a foreign country without authorization faces:

A) A) A verbal warning
B) B) No consequences if properly secured
C) C) Disciplinary action and possibly criminal penalties and/or weapon confiscation
D) D) Modified assignment only","**Answer: C**

Source: A.G. 305-07

A.G. 305-07 warns that carrying a firearm into a foreign country without authorization may result in disciplinary action, criminal penalties, and weapon confiscation.","A.G. 305-07",master_exam question_117
"**118.** When is a Unified Command established under CIMS?

A) A) When the Police Commissioner directs
B) B) When multiple agencies or jurisdictions are involved
C) C) For all Level 1 mobilizations
D) D) Only during natural disasters","**Answer: B**

Source: P.G. 220-01

Unified Command is established when multiple agencies or jurisdictions share incident command responsibility.","P.G. 220-01",master_exam question_118
"**119.** Canine use at non-peaceful demonstrations requires prior approval of:

A) A) The borough commander
B) B) The Chief of Patrol
C) C) The Chief of Department
D) D) The duty captain","**Answer: B**

Source: P.G. 221-18

P.G. 221-18 requires prior approval from the Chief of Patrol before canine teams may be used at non-peaceful demonstrations.","P.G. 221-18",master_exam question_119
"**120.** Terminal leave computation beyond 20 years of service grants:

A) A) 1 day per completed year
B) B) 2 days per completed year
C) C) 3 days per completed year of service
D) D) 5 days per completed year","**Answer: C**

Source: A.G. 329-06

A.G. 329-06 provides that terminal leave beyond 20 years grants 3 days per completed year of service.","A.G. 329-06",master_exam question_120
"**121.** Upon learning of a mobilization for a disorder, a sergeant should:

A) A) Proceed directly to the mobilization point
B) B) 10-02 (report to station house) first, then go to mobilization
C) C) Notify the duty captain before responding
D) D) Wait for the desk officer to direct response","**Answer: B**

Source: P.G. 213-05

P.G. 213-05 (Duties at Disorder) requires 10-02 first, then report to the mobilization point. P.G. 213-03 (Rapid Mobilization) says go direct — the exam is guided by the governing procedure, and duties at a disorder fall under 213-05.","P.G. 213-05",master_exam question_121
"**122.** A UMOS finds a lost child. What is the FIRST step?

A) A) Prepare a Lost Person Report
B) B) Notify the Desk Officer/counterpart AND the Radio Dispatcher
C) C) Attempt to locate a parent or guardian
D) D) Notify the Missing Persons Squad","**Answer: B**

Source: P.G. 215-01

The first step when a UMOS finds a lost child is to notify the Desk Officer/counterpart AND the Radio Dispatcher — the exam tests ""first step"" language.","P.G. 215-01",master_exam question_122
"**123.** At a CBRN incident with suspected terrorism, who has primary agency for overall site management?

A) A) FDNY
B) B) NYPD
C) C) OEM
D) D) DHS","**Answer: B**

Source: P.G. 220-02, 220-03

NYPD has the Core Competency for Overall Site Management and Assessment/Investigation at CBRN incidents with suspected terrorism. FDNY has primary for life safety/fire.","P.G. 220-02, 220-03",master_exam question_123
"**124.** A UMOS writes a ""C"" summons instead of an OATH for a CJRA violation. A patrol supervisor must respond:

A) A) True — supervisor must respond to all ""C"" summons
B) B) False — supervisor must respond only for Code 3 (law enforcement exception)
C) C) False — supervisor never responds to OATH/CJRA summons
D) D) True — but only if the defendant requests it","**Answer: B**

Source: P.G. 209-03, 209-12

The supervisor must respond ONLY for Code 3 (law enforcement exception). If the officer used Code 1, 2, or 4, no supervisor response is required. The exam tests whether you know the rule is specific to Code 3.","P.G. 209-03, 209-12",master_exam question_124
"**125.** A vehicle collision involves a city vehicle and a private vehicle where the city may be liable. The UMOS checks the PAR back ""Duplicate Copy Required For"" box for:

A) A) Police Department
B) B) Comptroller
C) C) Law Department
D) D) Risk Management","**Answer: B**

Source: P.G. 217-04

For city vehicle collisions where the city may be liable, the ""Duplicate Copy Required For"" box for Comptroller must be checked. Persons involved must be informed they must file claims with the Comptroller within 90 days.","P.G. 217-04",master_exam question_125
"**126.** A prisoner at a hospital asks the guarding officer to remove handcuffs. The doctor then asks the officer to leave the room. The officer should:

A) A) Remove the cuffs only after the doctor examines the prisoner
B) B) Maintain visual contact from inside the room while the doctor examines
C) C) Step outside the room and wait in the hallway
D) D) Request a patrol supervisor before doing anything","**Answer: C**

Source: P.G. 210-02

If the doctor asks the officer to leave the room, the officer does NOT need a PS — just step outside and maintain visual contact. The PS requirement only applies if the doctor wants the cuffs removed.","P.G. 210-02",master_exam question_126
"**127.** A supervisor discovers offensive graffiti in the locker room. What is the FIRST action?

A) A) Remove it immediately
B) B) Photograph it and secure/remove/cover it
C) C) Report it to IAB
D) D) Voucher it as found property","**Answer: B**

Source: A.G. 332-19

The first action is to photograph it and take immediate steps to secure/remove/cover it. Then voucher as ""Investigatory Evidence,"" make a CLE (without describing the material), and notify the C.O.","A.G. 332-19",master_exam question_127
"**128.** A member of the service is discourteous to a civilian asking for directions. The correct answer under NYPD values:

A) A) No violation if the officer was busy
B) B) Cites the values statement on courtesy and civility
C) C) Only a formal complaint warrants action
D) D) Depends on whether the civilian files a complaint","**Answer: B**

Source: P.G. 200-02

This exact scenario appeared on a recent Sergeant exam — the correct answer cites the values statement on courtesy and civility. All members must be courteous to the public.","P.G. 200-02",master_exam question_128
"**129.** An officer responds to an elderly woman in a nursing home who was burned by hot coffee. What is the correct classification?

A) A) Routine sick — no aided report required
B) B) Injury — aided report required
C) C) Quality of life complaint
D) D) Medical emergency only — no report required","**Answer: B**

Source: P.G. 216-01

A past test had an elderly woman burnt by hot coffee — this is an injury, not a routine sick case, and requires an Aided Report. Routine sick applies only when no injury, police service, investigation, or notifications are needed.","P.G. 216-01",master_exam question_129
"**130.** For a DWI suspect arrested after a collision who refuses a breathalyzer, a chemical test warrant CAN be applied for when:

A) A) The suspect was the only person injured
B) B) Another person (a passenger) suffered serious physical injury
C) C) The suspect has prior DWI convictions
D) D) The arrest occurred on a highway","**Answer: B**

Source: P.G. 217-16

A chemical test warrant CAN be applied for because another person (the passenger) suffered serious physical injury. If the suspect had been the only injured party, no warrant would be possible under the serious physical injury standard.","P.G. 217-16",master_exam question_130
"**131.** Where does a lawyer fall in the hospital prisoner visit hierarchy (210-02)?

A) A) Interviewer
B) B) Visitor only
C) C) Neither — lawyers are not listed
D) D) Emergency contact","**Answer: B**

Source: P.G. 210-02

In 210-02 (hospital), a lawyer is a Visitor, NOT an Interviewer. In 210-01 (precinct/BCS), the lawyer is an Interviewer. This is a major exam distinction.","P.G. 210-02",master_exam question_131
"**132.** A vehicle owner requests a private tow truck after a DARP request was already made. The member must:

A) A) Grant the request if the tow arrives faster
B) B) Deny the request — DARP cannot be cancelled once requested
C) C) Allow the private tow if the owner signs a waiver
D) D) Let the owner decide between the two","**Answer: B**

Source: P.G. 217-09

Once a DARP request is made, it cannot be cancelled — except for listed exemptions. The vehicle owner's private preference is NOT an exemption. The member must deny the request.","P.G. 217-09",master_exam question_132
"**133.** A member drives a Department vehicle, runs a red light without slowing, and causes a collision. The appropriate action is:

A) A) Retraining
B) B) Discipline (unsafe disregard)
C) C) Verbal warning
D) D) No action if no injury resulted","**Answer: B**

Source: P.G. 217-06

Running a red light without slowing constitutes unsafe disregard and warrants discipline. If a member skids on ice and loses control, the appropriate action is retraining (driving deficiency/ability factor), not discipline.","P.G. 217-06",master_exam question_133
"**134.** At an EDP scene, a sergeant should FIRST establish:

A) A) A perimeter
B) B) Firearms control
C) C) A command post
D) D) Communication with the EDP","**Answer: B**

Source: P.G. 221-13

At an EDP scene, firearms control must be established immediately. Life safety is the primary duty, but firearms must be controlled first to prevent escalation.","P.G. 221-13",master_exam question_134
"**135.** A sergeant evaluates a probationary officer. At the 16th month evaluation, the rating is below competent. What happens next?

A) A) Immediate termination
B) B) 22nd month evaluation with detailed Typed Letterhead to Performance Analysis Unit
C) C) Extension of probation up to 6 months
D) D) Transfer to another command","**Answer: C**

Source: A.G. 331-02

A below-competent rating at 16th month triggers an extension of probation up to 6 additional months. The 22nd month evaluation with Typed Letterhead to PAU is for a Termination recommendation, not a below-competent rating alone.","A.G. 331-02",master_exam question_135
"**136.** A member files an EEO complaint. A supervisor must report a discriminatory act by:

A) A) Email only
B) B) Telephone only
C) C) In person only
D) D) Any method — no specific requirement","**Answer: B**

Source: A.G. 332-14

A supervisor must report discriminatory acts by TELEPHONE only. A complainant (non-supervisor) can call, email, fax, write, or do it in person — but supervisors have a specific telephone-only requirement.","A.G. 332-14",master_exam question_136
"**137.** An EEO complaint filing deadline runs from:

A) A) Date of the original report
B) B) Date of occurrence
C) C) Date the complainant first informed a supervisor
D) D) Date of the investigation conclusion","**Answer: B**

Source: A.G. 332-14

Filing deadlines run from the date of occurrence, not the date of the original report or investigation conclusion. This is measured from when the discriminatory act happened.","A.G. 332-14",master_exam question_137
"**138.** To leave the city while out sick, a UMOS must request permission through:

A) A) Chief of Personnel
B) B) Sick Desk Supervisor
C) C) Desk Officer, permanent command
D) D) District Surgeon","**Answer: D**

Source: A.G. 330-03

The District Surgeon grants approval for out-of-city travel while on sick. The Chief of Personnel grants the approval, but the request goes through the District Surgeon.","A.G. 330-03",master_exam question_138
"**139.** A UMOS going out on regular sick should provide the desk officer at the permanent command with:

A) A) Name of Sick Desk member notified and time notified
B) B) Name, time, and sick serial number
C) C) Sick serial number only
D) D) All three: name, time, and serial number","**Answer: C**

Source: A.G. 330-03

UMOS gets 3 pieces of information from the Sick Desk (name, time notified, serial number) but only passes the sick serial number to the desk officer. The exam tests this specific detail.","A.G. 330-03",master_exam question_139
"**140.** An officer is arrested for domestic violence. Under PG 208-37, no notification is required. But under PG 212-32:

A) A) The Desk Officer must notify the Captain
B) B) The officer self-reports
C) C) No action is required
D) D) IAB must be notified","**Answer: A**

Source: P.G. 208-37 vs 212-32

PG 208-37 says no notification for off-duty incidents, BUT PG 212-32 says the Desk Officer must notify the Captain. Both procedures exist — a sergeant must know both.","P.G. 208-37 vs 212-32",master_exam question_140
