Front,Back,Chapter,Tags
"RATCOP","Mnemonic for info released only after conferral with DCPI AND Chief of Detectives: Reputation, Anticipated testimony, Test results, Credibility, Opinion/speculation, Photos/films/mug shot","Command Operations",key_terms 212_command_operations
"BWC","Body Worn Camera — Dept property; must be personally issued; activate for all police action","Command Operations",key_terms 212_command_operations
"Police Action","Police service, law enforcement, or investigative activity in furtherance of official duties — triggers mandatory BWC activation","Command Operations",key_terms 212_command_operations
"GO 15 (A.G. 318-11)","Rule allowing member to view own BWC video as subject/witness in Dept investigation prior to making statement","Command Operations",key_terms 212_command_operations
"Gunshot Detection","Alert system (Shotspotter) that detects potential gunfire; generates confirmed or unconfirmed alerts","Command Operations",key_terms 212_command_operations
"ECMS","Enterprise Case Management System — NCO opens companion case for confirmed gunshot alerts","Command Operations",key_terms 212_command_operations
"Number","Significance","Command Operations",key_terms 212_command_operations
"1 hour","Contact desk officer before end of tour (foot patrol needing relief); arrive at poll site before opening","Command Operations",key_terms 212_command_operations
"30 minutes","Dispatch another unit if Transit call not finalized; radio check intervals during malfunction","Command Operations",key_terms 212_command_operations
"100 feet","No-electioneering zone around poll site entrance","Command Operations",key_terms 212_command_operations
"400-600 feet","Spacing of emergency alarm boxes (under blue lights) in subway","Command Operations",key_terms 212_command_operations
"2100 hours","Poll closing time — persons on line may vote, no new entries","Command Operations",key_terms 212_command_operations
"72 hours","HPD deadline to seal vacated premises","Command Operations",key_terms 212_command_operations
"60 days","Rifle/shotgun surrender investigation completion deadline","Command Operations",key_terms 212_command_operations
"2 years","Pistol license validity period; minimum firearm retention under ERPO","Command Operations",key_terms 212_command_operations
"8 hours","Window to cancel AMBER Alert via fax to NYS Police","Command Operations",key_terms 212_command_operations
"30 days","ERPO Unit reviews before expiration for renewal determination","Command Operations",key_terms 212_command_operations
"$15","Subpoena fee — Civil/State","Command Operations",key_terms 212_command_operations
"$40","Subpoena fee — Civil/Federal","Command Operations",key_terms 212_command_operations
"$5","Medical records fee for outside parties","Command Operations",key_terms 212_command_operations
"711","TRS dial code for deaf/hard of hearing relay service","Command Operations",key_terms 212_command_operations
"(212) 504-4115","TTY number for 311 system","Command Operations",key_terms 212_command_operations
"0900-1700","License Division hours (Mon-Fri); Legal Bureau ERPO Unit hours (Mon-Fri)","Command Operations",key_terms 212_command_operations
"300 feet","Minimum outdoor hazmat distance for spills and most fires","Command Operations",key_terms 212_command_operations
"1,000 feet","Minimum outdoor hazmat distance for explosions/suspected devices/military/tanker fires; bomb evacuation distance","Command Operations",key_terms 212_command_operations
"20 minutes","Discontinue bomb search before threatened explosion time","Command Operations",key_terms 212_command_operations
"1 hour","Do not resume bomb search after threatened explosion time","Command Operations",key_terms 212_command_operations
"39 months","BWC video automatic deletion period","Command Operations",key_terms 212_command_operations
"PD Code 080","Investigate Gunshot Detection Alert (Shotspotter, no ballistics)","Command Operations",key_terms 212_command_operations
"PD Code 083","Investigate Shots Fired (no ballistics)","Command Operations",key_terms 212_command_operations
"PD Code 088","Investigate Shot Fired, Ballistics Recovered","Command Operations",key_terms 212_command_operations
"PD Code 089","Investigate Gunshot Detection Alert, Ballistics Recovered","Command Operations",key_terms 212_command_operations
"Code","Action","Command Operations",key_terms 212_command_operations
"1","ARREST","Command Operations",key_terms 212_command_operations
"2","DETAIN","Command Operations",key_terms 212_command_operations
"3","INVESTIGATION","Command Operations",key_terms 212_command_operations
"4","INFORMATION GATHERING","Command Operations",key_terms 212_command_operations
"Code","Meaning","Command Operations",key_terms 212_command_operations
"10-75T","Transit patrol by non-Transit member","Command Operations",key_terms 212_command_operations
"10-75S","Station inspection by Transit member","Command Operations",key_terms 212_command_operations
"10-75O","TOMS","Command Operations",key_terms 212_command_operations
"10-75M","Mobile order maintenance","Command Operations",key_terms 212_command_operations
"10-90N","Unnecessary Alarm (DOE facilities, no forced entry)","Command Operations",key_terms 212_command_operations
"Signal","Meaning","Command Operations",key_terms 212_command_operations
"LONG-SHORT-LONG-SHORT","Train crew requesting police assistance","Command Operations",key_terms 212_command_operations
"First Amendment Activity","Exercise of rights protected by the 1st Amendment: speech, assembly, petition, press","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Senior Executive","Deputy chief or higher rank","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Designee","Captain or above designated by a Senior Executive","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"De-escalation","Reducing intensity of conflict or potential conflict","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Incident Commander","MOS in charge of the police response at an event or incident","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Nonviolent Participant","Person engaged in lawful First Amendment activity","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Violent Behavior","Conduct involving force causing or intended to cause physical injury or property damage","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Protest Liaison","Community Affairs Bureau (CAB) member assigned to communicate with demonstrators","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Mass Arrest Processing Center (MAPC)","Facility activated to process large numbers of arrests during mass arrest situations","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Legal Observer","Individual (NLG or NYCLU) present at demonstrations to observe police-protester interactions; granted free access through police lines","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Handschu Consent Decree","Legal ruling requiring written approval from Intelligence and Counterterrorism Bureau for political activity investigations","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"FINEST Message","Department-wide communication method used to announce changes in citywide security alert levels","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Traffic Brief","Daily compilation of traffic-related notifications from events affecting traffic flow","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Unusual Disorder Kit","Standardized kit of supplies maintained by each command for use during unusual disorders","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Item","Value","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Maximum prisoners per wagon","20","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Maximum prisoners per arresting officer","5","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Maximum arresting officers per arrest supervisor","4","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"First Amendment arrest processing time limit (violations/misdemeanors)","7 hours 30 minutes","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Food required for prisoners held longer than","2 hours","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Barrier exclusion distance — through streets from parade route","100 feet","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Barrier exclusion distance — corners on parade route","25 feet","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Sector maps in Unusual Disorder Kit","75","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Index cards in Unusual Disorder Kit","200","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Complaint Report Worksheets in Unusual Disorder Kit","200","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Aided Report Worksheets in Unusual Disorder Kit","200","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Detail Roster sheets in Unusual Disorder Kit","200","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Tags in Unusual Disorder Kit","300","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Unusual Disorder Kit inspection frequency","Semiannual (January and July)","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Citywide Events Planning availability","1000-1800, Mon-Fri","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"NYC default security alert level","ORANGE (High)","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Number of security alert levels","5","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Number of handcuff check points","3","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Event Scope","Incident Commander","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Single command","Precinct Commanding Officer","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Multi-command","Patrol Borough Commander","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Multi-borough","Chief of Patrol","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Tier One First Amendment","Sergeant (may serve as IC)","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Order","Color","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"1","GREEN","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"2","BLUE","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"3","YELLOW","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"4","ORANGE","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"5","RED","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Organization","Identifier","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"National Lawyers Guild (NLG)","Bright green hats","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"NYCLU","Blue hats/vests","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Action","Minimum Authority Required","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Activate MAPC","Chief of Department","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Authorize MAPC at First Amendment event","Senior Executive or designee","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Order mass arrests at First Amendment activity","Senior Executive (deputy chief+) or designee (captain+)","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Individual arrest for criminal conduct","Any supervisor","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"Political activity investigation (Handschu)","Written approval from Intelligence and Counterterrorism Bureau","Mobilization/Emergency Incidents",key_terms 213_mobilization_emergency
"C.U.R.E.","Coordinating a United Resolution with Establishments — multi-agency operation targeting problem commercial establishments","Quality of Life Matters",key_terms 214_quality_of_life
"M.E.N.D. Program","Free mediation offered by the Mayor's Office of Nightlife as an alternative to C.U.R.E. operations","Quality of Life Matters",key_terms 214_quality_of_life
"Chronic 311 Condition","5 or more 311 requests in a 28-day period for the same condition at the same location","Quality of Life Matters",key_terms 214_quality_of_life
"Chronic Abuser Alarm","Location with 3 or more unnecessary/unfounded alarms in a 3-month period","Quality of Life Matters",key_terms 214_quality_of_life
"Dangerous Animal","An animal that menaces, threatens, attacks, or bites a person","Quality of Life Matters",key_terms 214_quality_of_life
"Derelict Vehicle","A vehicle so dilapidated, burned, or stripped as to have no value except scrap","Quality of Life Matters",key_terms 214_quality_of_life
"Door Service","Method of serving alarm notice by placing in mailbox or under door when no qualified person is available","Quality of Life Matters",key_terms 214_quality_of_life
"Deferred Service","Method where CPO serves alarm notice the next business day when service cannot be made at the scene","Quality of Life Matters",key_terms 214_quality_of_life
"Qualified Person (alarm service)","Owner, corporate officer, manager, supervisor, or adult employee/resident","Quality of Life Matters",key_terms 214_quality_of_life
"Unlawful Eviction","Eviction through force, denial of essential services, removing possessions, changing locks, or interfering with comfort","Quality of Life Matters",key_terms 214_quality_of_life
"Access Warrant","Court Order signed by a Supreme Court judge allowing DOB to inspect premises","Quality of Life Matters",key_terms 214_quality_of_life
"OMAP","Designated liaison between NYPD and NYC 311","Quality of Life Matters",key_terms 214_quality_of_life
"CVTF","Citywide Vandals Task Force — handles graffiti vandal debriefing","Quality of Life Matters",key_terms 214_quality_of_life
"ACC","Animal Care and Control of NYC — responds to animal complaints","Quality of Life Matters",key_terms 214_quality_of_life
"ICAD Number","Identifier entered on Aided and Dangerous Animal/Bite Report","Quality of Life Matters",key_terms 214_quality_of_life
"LBB","Legal Bureau Bulletin — supplemental legal guidance that modifies or clarifies PG procedures","Quality of Life Matters",key_terms 214_quality_of_life
"Dwelling Unit","Any building or portion used as a home, residence, or sleeping place (includes private hotels with gov't funding; excludes hospitals, convents, NYCHA)","Quality of Life Matters",key_terms 214_quality_of_life
"Legitimate Occupancy","Tenant has a lease, occupied 30+ consecutive days, SRO requesting lease (verbal is sufficient), or sublet tenant","Quality of Life Matters",key_terms 214_quality_of_life
"Stay of Eviction","Court order to halt eviction — unenforceable once the eviction is already complete","Quality of Life Matters",key_terms 214_quality_of_life
"72-Hour Notice of Service","Required notice before executing Warrant of Eviction; starts day after service, excludes weekends/holidays; NOT required for Repossession Orders","Quality of Life Matters",key_terms 214_quality_of_life
"Telephone Record","Document where 311 deferrals and notifications are recorded (not the Telephone Dispatch Log)","Quality of Life Matters",key_terms 214_quality_of_life
"Chronic 311 Condition","5+ service requests in 28 days for the same specified condition at the same location","Quality of Life Matters",key_terms 214_quality_of_life
"NCO Sergeant (311)","Directed by CO to make daily callbacks to identified 311 callers; maintains 28-day chronic conditions list","Quality of Life Matters",key_terms 214_quality_of_life
"Item","Value","Quality of Life Matters",key_terms 214_quality_of_life
"Graffiti reward maximum","$500","Quality of Life Matters",key_terms 214_quality_of_life
"Chronic abuser alarm trigger","3+ alarms in 3 months","Quality of Life Matters",key_terms 214_quality_of_life
"Alarm reinstatement delay","Minimum 48 hours","Quality of Life Matters",key_terms 214_quality_of_life
"Vehicle alarm observation period","3 minutes","Quality of Life Matters",key_terms 214_quality_of_life
"Vehicle alarm auto-deactivation","10 minutes","Quality of Life Matters",key_terms 214_quality_of_life
"Building alarm summons threshold","15 minutes continuous","Quality of Life Matters",key_terms 214_quality_of_life
"OATH vehicle alarm mail-in fine","$280","Quality of Life Matters",key_terms 214_quality_of_life
"OATH vehicle alarm maximum fine","$2,100","Quality of Life Matters",key_terms 214_quality_of_life
"Unlawful eviction occupancy threshold","30+ consecutive days","Quality of Life Matters",key_terms 214_quality_of_life
"Unlawful eviction summons return date minimum","21 days out","Quality of Life Matters",key_terms 214_quality_of_life
"TLC follow-up padlocking","10 days after initial sealing","Quality of Life Matters",key_terms 214_quality_of_life
"Snow removal summons threshold","4 hours after snow stops","Quality of Life Matters",key_terms 214_quality_of_life
"Expired registration plate threshold","More than 2 months expired","Quality of Life Matters",key_terms 214_quality_of_life
"Derelict vehicle plate pickup deadline","5 days","Quality of Life Matters",key_terms 214_quality_of_life
"Narcotics evidence retention (eviction)","Minimum 3 months","Quality of Life Matters",key_terms 214_quality_of_life
"C.U.R.E. NOTICE lead time","At least 30 days before operation","Quality of Life Matters",key_terms 214_quality_of_life
"C.U.R.E. CO determination deadline","Within 30 days of notice","Quality of Life Matters",key_terms 214_quality_of_life
"Chronic 311 condition","5+ requests in 28 days","Quality of Life Matters",key_terms 214_quality_of_life
"311 immediate response trigger","5+ calls in 8 hours","Quality of Life Matters",key_terms 214_quality_of_life
"311 desk officer refresh interval","At least every hour","Quality of Life Matters",key_terms 214_quality_of_life
"311 daily review time","0800 by Second Platoon Desk Officer","Quality of Life Matters",key_terms 214_quality_of_life
"311 callback attempts","Minimum 2 per caller","Quality of Life Matters",key_terms 214_quality_of_life
"311 Special Ops Lt audit frequency","Monthly","Quality of Life Matters",key_terms 214_quality_of_life
"311 chronic conditions list update","Weekly","Quality of Life Matters",key_terms 214_quality_of_life
"Warrant of Eviction execution hours","Mon-Fri 0800-1700","Quality of Life Matters",key_terms 214_quality_of_life
"Search Warrant execution hours","Mon-Fri 0600-2100","Quality of Life Matters",key_terms 214_quality_of_life
"72-hour Notice of Service","Starts day after service, excludes Sat/Sun/Holidays","Quality of Life Matters",key_terms 214_quality_of_life
"ACC Brooklyn Control Center","24/7","Quality of Life Matters",key_terms 214_quality_of_life
"ACC Rescue Units","Mon-Fri 0800-2000","Quality of Life Matters",key_terms 214_quality_of_life
"ACC Other Control Centers","Tues-Sat (business hours)","Quality of Life Matters",key_terms 214_quality_of_life
"Form","Number","Quality of Life Matters",key_terms 214_quality_of_life
"Complaint Report","PD313-152","Quality of Life Matters",key_terms 214_quality_of_life
"Notice of Unnecessary Alarm","PD310-120","Quality of Life Matters",key_terms 214_quality_of_life
"Registration Plate Removal Notice (NY)","PD571-120","Quality of Life Matters",key_terms 214_quality_of_life
"Expired Registration Plate Removal (out-of-state)","PD571-124","Quality of Life Matters",key_terms 214_quality_of_life
"Dangerous Animal/Bite Report","PD311-152","Quality of Life Matters",key_terms 214_quality_of_life
"C.U.R.E. Notice","PD635-121","Quality of Life Matters",key_terms 214_quality_of_life
"Referral to Mediation","PD613-181","Quality of Life Matters",key_terms 214_quality_of_life
"Notification to Owner","MISC. 3930","Quality of Life Matters",key_terms 214_quality_of_life
"Code","Meaning","Quality of Life Matters",key_terms 214_quality_of_life
"10-11","Alarm Condition","Quality of Life Matters",key_terms 214_quality_of_life
"10-42","Notify Communications Section (311 receipt)","Quality of Life Matters",key_terms 214_quality_of_life
"10-90N","Notice Served (alarm)","Quality of Life Matters",key_terms 214_quality_of_life
"10-95","Refer to Another Agency (311 disposition)","Quality of Life Matters",key_terms 214_quality_of_life
"LBB","Topic","Quality of Life Matters",key_terms 214_quality_of_life
"Vol 49 #1 (Aug 2019)","Unlawful Evictions","Quality of Life Matters",key_terms 214_quality_of_life
"Vol 14 #8","Warrant of Eviction","Quality of Life Matters",key_terms 214_quality_of_life
"Borough","Day","Quality of Life Matters",key_terms 214_quality_of_life
"Manhattan/Bronx","Tuesday","Quality of Life Matters",key_terms 214_quality_of_life
"Brooklyn/Queens","Thursday","Quality of Life Matters",key_terms 214_quality_of_life
"Staten Island","First Wednesday of the month","Quality of Life Matters",key_terms 214_quality_of_life
"Juvenile Delinquent (JD)","A person at least 12 but less than 18 years of age who commits an act that would be a crime if committed by an adult. A child under 12 may qualify for homicide offenses.","Juvenile Matters",key_terms 215_juvenile_matters
"Juvenile Offender (JO)","A juvenile charged with specific serious felonies who is prosecuted in the criminal justice system rather than Family Court. Age and offense-specific.","Juvenile Matters",key_terms 215_juvenile_matters
"Adolescent Offender (AO)","A category under Raise the Age legislation for certain offenders aged 16-17 charged with felonies, processed through a Youth Part of Superior Court.","Juvenile Matters",key_terms 215_juvenile_matters
"PINS (Person in Need of Supervision)","A person under 18 who is truant, incorrigible, ungovernable, or habitually disobedient and beyond the control of a parent/guardian. Processed through Family Court.","Juvenile Matters",key_terms 215_juvenile_matters
"ACS (Administration for Children's Services)","NYC agency responsible for child welfare, protective services, foster care, and adoption services.","Juvenile Matters",key_terms 215_juvenile_matters
"IRT (Instant Response Team)","An ACS team that responds when a child is removed from the home or an arrest is made in a child abuse/neglect case.","Juvenile Matters",key_terms 215_juvenile_matters
"SVU (Special Victims Unit)","NYPD unit handling sex crimes and crimes against children under 11 years of age.","Juvenile Matters",key_terms 215_juvenile_matters
"Corporation Counsel","NYC's Law Department attorney who represents the city in Family Court proceedings involving juvenile delinquents. Consulted for robbery charges designated as delinquent.","Juvenile Matters",key_terms 215_juvenile_matters
"Family Court","Court with jurisdiction over juvenile delinquency, child abuse/neglect, PINS, and family offenses. JDs appear at 0900 hours on the next business day.","Juvenile Matters",key_terms 215_juvenile_matters
"Miranda (Juvenile Context)","Warnings that must be read to BOTH the juvenile AND the parent/guardian using form PD244-1413. Parent/guardian must be present. If parent objects or requests attorney, no questioning is permitted.","Juvenile Matters",key_terms 215_juvenile_matters
"School Safety Agent (SSA)","Civilian agents who conduct security at DOE schools. Search authority derives from the principal/designee, not independent police authority.","Juvenile Matters",key_terms 215_juvenile_matters
"Reasonable Suspicion","The legal standard for School Safety Agent searches of students. Lower than probable cause but requires articulable facts.","Juvenile Matters",key_terms 215_juvenile_matters
"Strip-Search Prohibition","School Safety Agents are absolutely prohibited from conducting strip-searches under any circumstances.","Juvenile Matters",key_terms 215_juvenile_matters
"Licensed Premises","Public dance halls, cabarets, catering establishments, bars/grills, pool/billiard parlors, bowling alleys, skating rinks, theaters, motion picture theaters.","Juvenile Matters",key_terms 215_juvenile_matters
"State Central Registry","New York State database of child abuse/maltreatment reports. ACS CPS may only request police assistance when a complaint is lodged here.","Juvenile Matters",key_terms 215_juvenile_matters
"10-68A","Radio code for ""Request for Assistance to ACS Child Protection Specialists.""","Juvenile Matters",key_terms 215_juvenile_matters
"Juvenile Strategies Unit","NYPD unit that must be contacted BEFORE beginning the arrest process for a juvenile delinquent.","Juvenile Matters",key_terms 215_juvenile_matters
"School Safety Division Counterterrorism Unit","Unit that must be consulted BEFORE enforcement action on school-related threats. Serves as central repository of all school threats.","Juvenile Matters",key_terms 215_juvenile_matters
"School Safety Division Operations Unit","Unit that must be notified PRIOR to any arrest at a DOE school. A log number must be obtained.","Juvenile Matters",key_terms 215_juvenile_matters
"Number/Age","Significance","Juvenile Matters",key_terms 215_juvenile_matters
"Under 11","Abuse cases: notify SVU (not precinct detectives)","Juvenile Matters",key_terms 215_juvenile_matters
"11 or older","Abuse cases: notify precinct detective squad","Juvenile Matters",key_terms 215_juvenile_matters
"Under 12","Only qualifies as JD for homicide offenses","Juvenile Matters",key_terms 215_juvenile_matters
"12 to 17 (at least 12, less than 18)","Juvenile Delinquent age range","Juvenile Matters",key_terms 215_juvenile_matters
"Under 16","Runaway child definition (New York)","Juvenile Matters",key_terms 215_juvenile_matters
"Under 18","Juvenile definition for licensed premises; sex crime victim threshold for child advocacy","Juvenile Matters",key_terms 215_juvenile_matters
"Under 2 years","Rear-facing child car seat required","Juvenile Matters",key_terms 215_juvenile_matters
"Under 4 years","Child car seat required","Juvenile Matters",key_terms 215_juvenile_matters
"Ages 4-7","Booster seat required","Juvenile Matters",key_terms 215_juvenile_matters
"Under 8 years","Child restraint of some form required","Juvenile Matters",key_terms 215_juvenile_matters
"0900 hours","Family Court appearance time (next business day)","Juvenile Matters",key_terms 215_juvenile_matters
"10-68A","Radio code: ACS CPS assistance request","Juvenile Matters",key_terms 215_juvenile_matters
"10-84","Radio code: arrival at ACS CPS scene","Juvenile Matters",key_terms 215_juvenile_matters
"Section 1024 FCA","Authorizes emergency removal of children","Juvenile Matters",key_terms 215_juvenile_matters
"MAR BAR MAK + Gun","Mnemonic for felonies making a 14/15-year-old a Juvenile Offender: Murder/Assault/Rape, Burglary/Arson/Robbery, Manslaughter/Agg Sexual Abuse/Kidnapping, + CPW 2nd within 1000 ft of school","Juvenile Matters",key_terms 215_juvenile_matters
"S.C.A.M.","Suspected Child Abuse or Maltreatment — the report (and procedure PG 215-03) for investigating and documenting child abuse/neglect cases","Juvenile Matters",key_terms 215_juvenile_matters
"Paper Chase (6 Reports)","The 6 documents prepared in a child removal case: Complaint Report, DIR, SCAM, Aided Report, Notice of Removal, Affidavit of Service. Only 3 are prepared if no removal (Complaint, DIR, SCAM).","Juvenile Matters",key_terms 215_juvenile_matters
"Constructive Restraint","Physical control with no restraining device, using minimal force necessary to control movement. Used for a child who is obeying commands.","Juvenile Matters",key_terms 215_juvenile_matters
"Alternative Restraint","Velcro device used as an alternative to metal handcuffs for possible safety/flight risk and/or non-compliant child. Used only by MOS trained in them; all SSAs carry and are trained.","Juvenile Matters",key_terms 215_juvenile_matters
"Crisis Intervention Team","School-based team that should be requested when responding to a student in emotional crisis. MOS should inquire about their involvement before engaging.","Juvenile Matters",key_terms 215_juvenile_matters
"Deadly Weapon (9 types)","1 loaded weapon (shot can cause S.P.I./D.O.A.), 4 slappers (blackjack, billy, metal knuckles, plastic knuckles), 4 knives (switchblade, pilum ballistic, metal knuckle, dagger). Defined in Penal Law Section 10.00.","Juvenile Matters",key_terms 215_juvenile_matters
"School Grounds","For CPW 2nd degree JO purposes: inside school property line (elementary through high school) OR outside property line but within 1000 feet in a public place (includes parked vehicle). Penal Law Section 220.00 Sub 14.","Juvenile Matters",key_terms 215_juvenile_matters
"SVU-IRST (Instant Response Tracking Unit)","SVU unit that accepts law enforcement referrals from State Central Registry, determines appropriate police response, and may prepare complaint reports.","Juvenile Matters",key_terms 215_juvenile_matters
"Safe Horizon","Organization whose phone number is provided to the non-abusing parent/guardian for child services.","Juvenile Matters",key_terms 215_juvenile_matters
"Juvenile Crime Desk","Notified when a juvenile is removed to a Department facility. Assists supervisors in determining whether juvenile should be released on JR Worksheet or processed as JD.","Juvenile Matters",key_terms 215_juvenile_matters
"10-90J(1)","Radio disposition: D.I.R. made, no offense (child abuse ""J"" code)","Juvenile Matters",key_terms 215_juvenile_matters
"10-92J","Radio disposition: D.I.R. made, Arrest (child abuse ""J"" code)","Juvenile Matters",key_terms 215_juvenile_matters
"10-93J","Radio disposition: D.I.R. made, 61 Prepared (child abuse ""J"" code)","Juvenile Matters",key_terms 215_juvenile_matters
"10-75F","Radio disposition: Home visit","Juvenile Matters",key_terms 215_juvenile_matters
"Number/Age","Significance","Juvenile Matters",key_terms 215_juvenile_matters
"13-year-old JO","Can ONLY be a JO for Murder 2nd degree, Subs 1 and 2 (Intentional and Deathly Reckless)","Juvenile Matters",key_terms 215_juvenile_matters
"14- and 15-year-old JO","Full MAR BAR MAK + Gun list applies","Juvenile Matters",key_terms 215_juvenile_matters
"Under 12 (restraint)","Metal cuffs should NOT be used without prior supervisor approval; NOT handcuffed to fixed objects","Juvenile Matters",key_terms 215_juvenile_matters
"16 and above (restraint)","Metal handcuffs used when necessary; alternative restraints will NOT be utilized","Juvenile Matters",key_terms 215_juvenile_matters
"1000 feet","Distance from school that defines ""School Grounds"" for CPW 2nd degree JO","Juvenile Matters",key_terms 215_juvenile_matters
"24 hours","Time limit for mailing Notice of Removal (UMOS) and Affidavit (D.O. to Family Court)","Juvenile Matters",key_terms 215_juvenile_matters
"9","Number of Deadly Weapons defined in Penal Law Section 10.00","Juvenile Matters",key_terms 215_juvenile_matters
"Form","Number","Juvenile Matters",key_terms 215_juvenile_matters
"AIDED REPORT","—","Juvenile Matters",key_terms 215_juvenile_matters
"REPORT OF SUSPECTED CHILD ABUSE OR MALTREATMENT","PD377-154","Juvenile Matters",key_terms 215_juvenile_matters
"JUVENILE REPORT SYSTEM WORKSHEET","PD377-159A","Juvenile Matters",key_terms 215_juvenile_matters
"COMPLAINT REPORT WORKSHEET","PD313-152A","Juvenile Matters",key_terms 215_juvenile_matters
"MIRANDA WARNINGS FOR JUVENILE INTERROGATIONS","PD244-1413","Juvenile Matters",key_terms 215_juvenile_matters
"ON LINE BOOKING SYSTEM ARREST WORKSHEET","PD244-159","Juvenile Matters",key_terms 215_juvenile_matters
"DIR (DOMESTIC INCIDENT REPORT)","—","Juvenile Matters",key_terms 215_juvenile_matters
"NOTICE — TEMPORARY REMOVAL OF CHILD AND RIGHT TO HEARING","—","Juvenile Matters",key_terms 215_juvenile_matters
"AFFIDAVIT OF SERVICE OF NOTICE","—","Juvenile Matters",key_terms 215_juvenile_matters
"SCHOOL SAFETY DIVISION CRIMINAL INCIDENT REPORT","—","Juvenile Matters",key_terms 215_juvenile_matters
"Aided Case","Any occurrence requiring a person OTHER THAN A PRISONER to receive medical aid or assistance (sick/injured, dead, lost, mentally ill, abandoned child, runaway, homeless)","Aided Cases",key_terms 216_aided_cases
"Routine Sick at Home","Aided at residence who is conscious, identified, no dependent adults/uncared children, no other police service needed — requires only Activity Log entry","Aided Cases",key_terms 216_aided_cases
"Routine Sick in Nursing Home","Uniformed members WILL NOT respond; exceptions: injury, cardiac, D.O.A., etc.","Aided Cases",key_terms 216_aided_cases
"Human Exposure to Rabies","Bite/scratch from rabid or suspected rabid animal, or contamination of open wound (bled within 24 hours) or mucous membranes with infectious material","Aided Cases",key_terms 216_aided_cases
"Communicable Disease","Infectious disease capable of being passed by direct contact with an infected individual or their discharges","Aided Cases",key_terms 216_aided_cases
"Line of Duty (Auxiliary)","After ""sign-in"" on Auxiliary Police Roll Call (APS #10) until sign-out; NO off-duty designation","Aided Cases",key_terms 216_aided_cases
"Carbon Monoxide","Colorless, odorless gas; symptoms include headache, nausea, vomiting, confusion; severe cases show cherry red skin","Aided Cases",key_terms 216_aided_cases
"AED Utilization","Once AED pads are placed on an aided — even if no shock is administered","Aided Cases",key_terms 216_aided_cases
